Symbol,Company name,52-wk high,52-wk low,Last price,52-wk high chg.,52-wk high chg. %,52-wk low chg.,52-wk low chg. %,50-DMA,50-DMA chg.,50-DMA chg. %,200-DMA chg. %,200-DMA chg.,200-DMA
0P0000XVJN.BO,SBI Magnum Children&apos;s Benefit Fund Direct Growth,70.31,53.52,76.05,5.74,0.0816,22.53,0.421,74.74,1.31,0.0175,0.0621,4.45,71.6
0P0000XVK3.BO,SBI Magnum Constant Maturity Fund Direct Growth,51.38,46.43,51.21,-0.18,-0.0034,4.77,0.1028,51.23,-0.02,-0.0004,0.008,0.41,50.8
0P0000XVK8.BO,SBI Magnum Income Fund Direct Growth,57.53,51.2,58.51,0.98,0.017,7.31,0.1428,58.39,0.12,0.002,0.0145,0.84,57.67
0P0000XVLN.BO,SBI Magnum Low Duration Fund Direct Plan Growth,2784.89,2587.84,2830.25,45.36,0.0163,242.41,0.0937,2822.99,7.26,0.0026,0.0108,30.25,2800
0P0000XVLH.BO,SBI Magnum Medium Duration Fund Direct Growth,41.65,36.93,42.34,0.69,0.0166,5.41,0.1464,42.24,0.1,0.0024,0.015,0.63,41.72
0P0000XVKT.BO,SBI Multi Asset Allocation Fund Direct Plan Growth,35.96,25.74,38.23,2.27,0.0631,12.48,0.485,37.92,0.31,0.0081,0.055,1.99,36.23
0P0000XVLL.BO,SBI Short Term Debt Fund Direct Growth,26.13,23.62,26.44,0.31,0.0117,2.82,0.1195,26.38,0.06,0.0022,0.0114,0.3,26.14
0P0000XW1B.BO,SBI Small Cap Fund Direct Plan Growth,85.53,41.26,105.26,19.72,0.2306,64,1.551,100.61,4.64,0.0461,0.1684,15.17,90.09
0P0000XVPE.BO,Tata Retirement Savings Conservative Fund Direct Plan Growth,26.22,20.82,27.05,0.83,0.0318,6.23,0.2993,26.92,0.14,0.0051,0.0283,0.75,26.31
0P0000XVPF.BO,Tata Retirement Savings Moderate Fund Direct Plan Growth,42.74,25.14,45.5,2.76,0.0646,20.35,0.8095,44.88,0.61,0.0137,0.0677,2.88,42.61
0P0000XVSO.BO,UTI Equity Fund - Growth Option - Direct,224.73,110.41,246.97,22.24,0.099,136.56,1.2369,239.76,7.21,0.0301,0.1016,22.79,224.19
