Date,0P0000XUYS.BO,0P0000XV1I.BO,0P0000XV5R.BO,0P0000XV9V.BO,0P0000XVG6.BO,0P0000XVGR.BO,0P0000XVH6.BO,0P0000XVU7.BO,0P0000XVUH.BO,0P0000XVZR.BO,0P0000XW00.BO,0P0000XW04.BO,0P0000XW0O.BO,0P0000XW1B.BO,0P0000XW2T.BO,0P0000XW4A.BO,0P0000XW4E.BO,0P0000XW51.BO,0P0000XW55.BO,0P0000YWL1.BO,0P00011MAT.BO,0P00017844.BO,0P0001EI12.BO
2018-01-01,27.881099700927734,62.5625,44.39899826049805,55.367000579833984,34.62620162963867,50.91999816894531,21.030000686645508,44.0452995300293,36.4900016784668,62.060001373291016,102.8499984741211,61.369998931884766,23.579999923706055,66.19529724121094,49.99700164794922,133.875,181.5,95.80130004882812,46.52259826660156,24.002199172973633,21.56999969482422,17.420000076293945,199.10499572753906
2018-01-02,27.791500091552734,62.55179977416992,44.08300018310547,55.073001861572266,34.53020095825195,50.7400016784668,20.8799991607666,43.85110092163086,36.20000076293945,61.9900016784668,102.16999816894531,61.150001525878906,23.510000228881836,65.59149932861328,49.7400016784668,133.75399780273438,180.53399658203125,95.1603012084961,46.33420181274414,23.886699676513672,21.459999084472656,17.381999969482422,198.4250030517578
2018-01-03,27.94499969482422,62.855899810791016,44.2400016784668,55.284000396728516,34.63330078125,50.75,20.90999984741211,43.92369842529297,36.400001525878906,62.560001373291016,102.54000091552734,61.36000061035156,23.540000915527344,67.06269836425781,49.81999969482422,134.77200317382812,181.75999450683594,95.61119842529297,46.374298095703125,23.962400436401367,21.5,17.41699981689453,199.21200561523438
2018-01-04,28.231800079345703,63.563899993896484,44.637001037597656,55.76499938964844,34.960899353027344,51.0099983215332,21.010000228881836,44.107200622558594,36.439998626708984,62.900001525878906,103.29000091552734,61.5,23.59000015258789,67.80229949951172,50.28099822998047,135.63299560546875,183.04600524902344,96.35079956054688,46.61029815673828,24.06920051574707,21.639999389648438,17.55900001525879,200.9080047607422
2018-01-05,28.579099655151367,63.98469924926758,45.09700012207031,56.49599838256836,35.202598571777344,51.349998474121094,21.079999923706055,44.65439987182617,36.81999969482422,63.70000076293945,103.7699966430664,61.70000076293945,23.709999084472656,68.86840057373047,50.715999603271484,136.88900756835938,184.78700256347656,97.32039642333984,46.916500091552734,24.26020050048828,21.729999542236328,17.709999084472656,201.24899291992188
2018-01-08,28.774700164794922,64.60790252685547,45.34199905395508,56.69900131225586,35.41899871826172,51.68000030517578,21.100000381469727,44.8129997253418,36.90999984741211,64.2300033569336,104.37999725341797,61.97999954223633,23.850000381469727,69.06610107421875,51.055999755859375,137.41799926757812,185.3780059814453,97.85710144042969,46.76250076293945,24.38249969482422,21.81999969482422,17.7810001373291,202.14999389648438
2018-01-09,28.653499603271484,64.6134033203125,45.236000061035156,56.85200119018555,35.31169891357422,51.619998931884766,21.059999465942383,44.722999572753906,36.779998779296875,64.13999938964844,104.41000366210938,61.93000030517578,23.829999923706055,68.69750213623047,51.029998779296875,137.51300048828125,185.57000732421875,97.94139862060547,46.671600341796875,24.388999938964844,21.850000381469727,17.854999542236328,201.8300018310547
2018-01-10,28.60580062866211,64.41829681396484,45.19900131225586,56.63600158691406,35.17679977416992,,21.209999084472656,44.798099517822266,36.68000030517578,63.939998626708984,104.4000015258789,62.06999969482422,23.860000610351562,68.68730163574219,50.86399841308594,137.1540069580078,184.91700744628906,97.6864013671875,46.446800231933594,24.452699661254883,21.809999465942383,17.815000534057617,201.16099548339844
2018-01-11,28.57699966430664,64.5864028930664,45.23699951171875,56.624000549316406,35.26369857788086,51.689998626708984,,44.89820098876953,36.630001068115234,64.04000091552734,104.54000091552734,62.11000061035156,23.8799991607666,68.7927017211914,50.915000915527344,137.5500030517578,185.18899536132812,97.88240051269531,46.529300689697266,24.44029998779297,21.8700008392334,17.81399917602539,201.57200622558594
2018-01-12,28.584400177001953,64.716796875,,56.82699966430664,35.319400787353516,51.939998626708984,21.200000762939453,45.06019973754883,36.709999084472656,64.19999694824219,104.33000183105469,62.099998474121094,23.899999618530273,68.84660339355469,50.948001861572266,137.99000549316406,185.22900390625,98.21160125732422,46.64680099487305,24.517900466918945,21.989999771118164,17.882999420166016,202.125
2018-01-15,28.524700164794922,64.92880249023438,45.1619987487793,56.935001373291016,35.400001525878906,52.25,21.110000610351562,45.14350128173828,36.77000045776367,64.36000061035156,104.29000091552734,62.470001220703125,24.020000457763672,69.03919982910156,51.066001892089844,138.0850067138672,185.90199279785156,98.45980072021484,46.73789978027344,24.54050064086914,,17.989999771118164,202.8300018310547
2018-01-16,28.06719970703125,64.16439819335938,44.47800064086914,56.027000427246094,35.30590057373047,51.7599983215332,20.84000015258789,44.81100082397461,36.33000183105469,63.06999969482422,102.73999786376953,,23.90999984741211,67.643798828125,50.38800048828125,136.85000610351562,183.4029998779297,97.34950256347656,46.37779998779297,24.48979949951172,21.59000015258789,17.797000885009766,201.50799560546875
2018-01-17,28.266199111938477,64.31690216064453,44.67499923706055,56.24100112915039,35.744998931884766,52.04999923706055,20.969999313354492,45.05569839477539,36.5099983215332,63.09000015258789,103.45999908447266,62.369998931884766,24.049999237060547,67.80709838867188,50.88800048828125,137.8260040283203,184.62600708007812,97.89450073242188,46.79130172729492,24.565799713134766,21.700000762939453,17.93400001525879,204.22999572753906
2018-01-18,27.899099349975586,63.55189895629883,44.30099868774414,55.513999938964844,35.57170104980469,51.72999954223633,20.700000762939453,45.245601654052734,,62.439998626708984,102.29000091552734,62.22999954223633,24.079999923706055,66.46890258789062,50.507999420166016,136.41600036621094,182.81199645996094,96.63700103759766,46.6150016784668,24.547800064086914,21.299999237060547,17.799999237060547,202.66799926757812
